,fromlong,fromlat,tolong,tolat
0,40.77394,-73.87291,40.77402,-73.87293
1,40.75011,-73.99166,40.75011,-73.99146
2,40.77402,-73.87306,40.77416,-73.87294
3,40.64474,-73.78202,40.64477,-73.78189
4,40.77416,-73.87284,40.77423,-73.87281
5,40.73667,-73.98889,40.73667,-73.98889
6,40.75231,-73.97805,40.75236,-73.9783
7,40.64469,-73.78204,40.64472,-73.78189
8,40.64458,-73.78224,40.64464,-73.78231
9,40.75231,-73.97805,40.75239,-73.97815
10,40.75125,-73.99412,40.75133,-73.99398
11,40.75019,-73.99147,40.75028,-73.99128
12,40.75107,-73.99413,40.75133,-73.99395
13,40.77404,-73.873,40.7741,-73.87303
14,40.73675,-73.9888,40.73677,-73.98883
15,40.75106,-73.99421,40.75116,-73.99407
16,40.75123,-73.99407,40.75126,-73.99411
17,40.77906,-73.96231,40.77909,-73.96228
18,40.77367,-73.87079,40.77371,-73.87088
19,40.77394,-73.87291,40.7741,-73.87307
20,40.77452,-73.96343,40.77452,-73.96343
21,40.75241,-73.97834,40.75241,-73.97801
22,40.77909,-73.96225,40.77912,-73.96227
23,40.76049,-74.00286,40.76052,-74.00282
24,40.75004,-73.99144,40.75004,-73.9914
25,40.77405,-73.87303,40.7741,-73.87301
26,40.77414,-73.87294,40.77418,-73.8729
27,40.75019,-73.9913,40.75028,-73.99128
28,40.74972,-73.99134,40.74993,-73.99146
29,40.77376,-73.87094,40.77378,-73.87088
30,40.75233,-73.97808,40.75236,-73.97811
31,40.7512,-73.99416,40.75128,-73.99414
32,40.75111,-73.99407,40.75133,-73.99398
33,40.77404,-73.87297,40.7741,-73.87307
34,40.75109,-73.99417,40.7512,-73.99404
35,40.77407,-73.87313,40.77407,-73.87294
36,40.75004,-73.9914,40.75011,-73.99143
37,40.75122,-73.99411,40.75133,-73.99395
38,40.75019,-73.99169,40.7502,-73.99137
39,40.77362,-73.87064,40.77376,-73.87088
40,40.74996,-73.99134,40.75011,-73.99146
41,40.75109,-73.99419,40.75125,-73.99398
42,40.77407,-73.87313,40.77421,-73.87284
43,40.77893,-73.9624,40.77914,-73.96221
44,40.75524,-73.96504,40.75524,-73.96504
45,40.75627,-73.99056,40.7563,-73.99047
46,40.64471,-73.78186,40.6448,-73.78186
47,40.77368,-73.87091,40.77379,-73.87084
48,40.75111,-73.99416,40.7513,-73.99403
49,40.75113,-73.99417,40.75117,-73.99411
50,40.74018,-74.00588,40.74018,-74.00588
51,40.75117,-73.9942,40.75133,-73.99398
52,40.77904,-73.96231,40.77909,-73.96225
53,40.74988,-73.9915,40.74996,-73.99134
54,40.75006,-73.9915,40.7503,-73.99147
55,40.77407,-73.87303,40.77411,-73.87313
56,40.7512,-73.99402,40.75127,-73.99405
57,40.77402,-73.87307,40.77413,-73.87312
58,40.77893,-73.9624,40.77907,-73.96231
59,40.64466,-73.78208,40.6447,-73.78179
60,40.75112,-73.99416,40.75114,-73.99415
61,40.75003,-73.99156,40.75009,-73.99134
62,40.76995,-73.86341,40.76995,-73.86337
63,40.74982,-73.99143,40.74998,-73.9914
64,40.64464,-73.78205,40.64476,-73.78179
65,40.73989,-74.0061,40.74016,-74.00572
66,40.7498,-73.99163,40.75006,-73.99166
67,40.75101,-73.99418,40.75112,-73.99414
68,40.75122,-73.99409,40.75122,-73.99408
69,40.75062,-73.99452,40.75091,-73.99433
70,40.75117,-73.9942,40.75117,-73.99418
71,40.74998,-73.99147,40.75001,-73.99131
72,40.74998,-73.99138,40.75,-73.99153
73,40.77406,-73.87303,40.77407,-73.87306
74,40.77414,-73.873,40.77421,-73.87296
75,40.75085,-73.9943,40.75101,-73.99414
76,40.77375,-73.8709,40.77381,-73.87097
77,40.77377,-73.87091,40.77378,-73.87089
78,40.74016,-74.00572,40.74031,-74.00579
79,40.75099,-73.99414,40.75115,-73.99417
80,40.74085,-74.00759,40.74086,-74.00759
81,40.74988,-73.9915,40.75014,-73.99133
82,40.74988,-73.99156,40.75012,-73.99143
83,40.75236,-73.97827,40.75241,-73.97801
84,40.7605,-74.00289,40.76057,-74.00273
85,40.77412,-73.873,40.77417,-73.8729
86,40.74972,-73.9916,40.75006,-73.99147
87,40.75104,-73.9941,40.75117,-73.9942
88,40.74995,-73.99131,40.75019,-73.99154
89,40.77371,-73.87091,40.77383,-73.87094
90,40.75104,-73.99404,40.75104,-73.99404
91,40.75233,-73.97814,40.75241,-73.97817
92,40.64464,-73.78195,40.64477,-73.78183
93,40.74993,-73.99154,40.75019,-73.99154
94,40.77904,-73.96231,40.77915,-73.96221
95,40.7736,-73.87065,40.77365,-73.87074
96,40.74998,-73.9915,40.74998,-73.9915
97,40.74979,-73.99156,40.74979,-73.99156
98,40.75241,-73.97817,40.75242,-73.97814
99,40.77373,-73.87071,40.77383,-73.87088
100,40.76049,-74.00283,40.76057,-74.0028
101,40.75106,-73.9941,40.75119,-73.99401
102,40.75611,-73.9905,40.75614,-73.99063
103,40.64466,-73.78179,40.64466,-73.78179
104,40.75106,-73.99407,40.75106,-73.99407
105,40.74996,-73.99153,40.75009,-73.99166
106,40.77404,-73.873,40.77413,-73.87301
107,40.76525,-73.97518,40.76525,-73.97518
108,40.77399,-73.87303,40.7741,-73.8731
109,40.77412,-73.87309,40.7742,-73.87296
110,40.7512,-73.99406,40.75133,-73.99398
111,40.77368,-73.87094,40.77378,-73.87094
